query_text,ministry_label
I need the contact details of the nodal officer for TDS Deductions.,Central Board of Direct Taxes (Income Tax)
Please provide details about funds allocated to Tax Refund.,Central Board of Direct Taxes (Income Tax)
I want to file an RTI regarding Tax Refund.,Central Board of Direct Taxes (Income Tax)
Complaint regarding delay in service by TDS Deductions.,Central Board of Direct Taxes (Income Tax)
Complaint regarding delay in service by Income Tax Return.,Central Board of Direct Taxes (Income Tax)
Why is there no response from the local office of TDS Deductions?,Central Board of Direct Taxes (Income Tax)
I need the contact details of the nodal officer for PAN Card Correction.,Central Board of Direct Taxes (Income Tax)
I need the contact details of the nodal officer for TDS Deductions.,Central Board of Direct Taxes (Income Tax)
Why is there no response from the local office of Income Tax Return?,Central Board of Direct Taxes (Income Tax)
Requesting information on new schemes under PAN Card Correction.,Central Board of Direct Taxes (Income Tax)
Complaint regarding delay in service by PAN Card Correction.,Central Board of Direct Taxes (Income Tax)
Please provide details about funds allocated to Tax Refund.,Central Board of Direct Taxes (Income Tax)
Please provide details about funds allocated to PAN Card Correction.,Central Board of Direct Taxes (Income Tax)
I want to file an RTI regarding PAN Card Correction.,Central Board of Direct Taxes (Income Tax)
Complaint regarding delay in service by TDS Deductions.,Central Board of Direct Taxes (Income Tax)
I need the contact details of the nodal officer for Income Tax Return.,Central Board of Direct Taxes (Income Tax)
Please provide details about funds allocated to Income Tax Return.,Central Board of Direct Taxes (Income Tax)
Why is there no response from the local office of Tax Refund?,Central Board of Direct Taxes (Income Tax)
Requesting information on new schemes under TDS Deductions.,Central Board of Direct Taxes (Income Tax)
Please provide details about funds allocated to PAN Card Correction.,Central Board of Direct Taxes (Income Tax)
What is the status of my application with Indirect Taxes and Customs?,Central Board of Indirect Taxes and Customs
Why is there no response from the local office of Indirect Taxes and Customs?,Central Board of Indirect Taxes and Customs
Complaint regarding delay in service by Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
What is the status of my application with Indirect Taxes and Customs?,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
I want to file an RTI regarding Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
I need the contact details of the nodal officer for Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
I need the contact details of the nodal officer for Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
What is the status of my application with Indirect Taxes and Customs?,Central Board of Indirect Taxes and Customs
I need the contact details of the nodal officer for Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Complaint regarding delay in service by Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Complaint regarding delay in service by Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
I want to file an RTI regarding Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
I want to file an RTI regarding Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Complaint regarding delay in service by Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Indirect Taxes and Customs.,Central Board of Indirect Taxes and Customs
Please provide details about funds allocated to Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Complaint regarding delay in service by Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
I need the contact details of the nodal officer for Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
I need the contact details of the nodal officer for Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Why is there no response from the local office of Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
Please provide details about funds allocated to Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
What is the status of my application with Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
I need the contact details of the nodal officer for Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Please provide details about funds allocated to Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Why is there no response from the local office of Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
I want to file an RTI regarding Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
What is the status of my application with Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
Requesting information on new schemes under Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Why is there no response from the local office of Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
I want to file an RTI regarding Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
What is the status of my application with Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
Requesting information on new schemes under Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Requesting information on new schemes under Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
What is the status of my application with Committee on Petitions Rajya Sabha?,Committee on Petitions Rajya Sabha
Please provide details about funds allocated to Committee on Petitions Rajya Sabha.,Committee on Petitions Rajya Sabha
Complaint regarding delay in service by Administrative Reforms and PG.,Department of Administrative Reforms and PG
Complaint regarding delay in service by Administrative Reforms and PG.,Department of Administrative Reforms and PG
I need the contact details of the nodal officer for Administrative Reforms and PG.,Department of Administrative Reforms and PG
What is the status of my application with Administrative Reforms and PG?,Department of Administrative Reforms and PG
Why is there no response from the local office of Administrative Reforms and PG?,Department of Administrative Reforms and PG
I want to file an RTI regarding Administrative Reforms and PG.,Department of Administrative Reforms and PG
What is the status of my application with Administrative Reforms and PG?,Department of Administrative Reforms and PG
Requesting information on new schemes under Administrative Reforms and PG.,Department of Administrative Reforms and PG
Complaint regarding delay in service by Administrative Reforms and PG.,Department of Administrative Reforms and PG
Complaint regarding delay in service by Administrative Reforms and PG.,Department of Administrative Reforms and PG
I need the contact details of the nodal officer for Administrative Reforms and PG.,Department of Administrative Reforms and PG
Complaint regarding delay in service by Administrative Reforms and PG.,Department of Administrative Reforms and PG
Requesting information on new schemes under Administrative Reforms and PG.,Department of Administrative Reforms and PG
What is the status of my application with Administrative Reforms and PG?,Department of Administrative Reforms and PG
What is the status of my application with Administrative Reforms and PG?,Department of Administrative Reforms and PG
I want to file an RTI regarding Administrative Reforms and PG.,Department of Administrative Reforms and PG
I want to file an RTI regarding Administrative Reforms and PG.,Department of Administrative Reforms and PG
I need the contact details of the nodal officer for Administrative Reforms and PG.,Department of Administrative Reforms and PG
I need the contact details of the nodal officer for Administrative Reforms and PG.,Department of Administrative Reforms and PG
Requesting information on new schemes under Administrative Reforms and PG.,Department of Administrative Reforms and PG
